7:eve01.cha-*CHI:	xxx at ?
17577:eve17.cha-*CHI:	I want some lobster in the (re)frigerator in [?] there . [+ RES]
17607:eve17.cha-*CHI:	<on an> [/] an [//] <the other dish> [//] in the other tapioca dish .
17630:eve17.cha-*CHI:	can't put some in . [+ RES]
17643:eve17.cha-*CHI:	I putting it on the dish . [+ RES]
17659:eve17.cha-*CHI:	I clean it off on the dish . [+ RES]
17670:eve17.cha-*CHI:	you clean it off like this way .
17726:eve17.cha-*CHI:	you cook with that ?
17775:eve18.cha-*CHI:	Fraser [/] Fraser and Colin <have a> [//] has a spoon for he cup .
17808:eve18.cha-*CHI:	a piece a [: of] carrot .
17813:eve18.cha-*CHI:	like noodles .
17816:eve18.cha-*CHI:	remember we had some macaroni for supper ?
17822:eve18.cha-*CHI:	I see Becky after my nap .
17838:eve18.cha-*CHI:	after my nap .
17843:eve18.cha-*CHI:	it standing all by itself ?
17854:eve18.cha-*CHI:	I wanna eat my tapioca (un)til those cool off .
17857:eve18.cha-*CHI:	it not time for [/] for your lunch .
17873:eve18.cha-*CHI:	in a little bottle ?
17888:eve18.cha-*CHI:	in a short time . [+ IMIT]
17899:eve18.cha-*CHI:	sit on chair . [+ IMP]
17904:eve18.cha-*CHI:	sit on the chair . [+ RES]
17921:eve18.cha-*CHI:	just like Judy cup .
17938:eve18.cha-*CHI:	he lives up Emerson_Hall .
17960:eve18.cha-*CHI:	we have all of them and Papa can't have one .
17971:eve18.cha-*CHI:	because we have all of these .
17976:eve18.cha-*CHI:	it went under my sandwich .
17986:eve18.cha-*CHI:	an(d) you didn't eat supper with us .
17992:eve18.cha-*CHI:	you didn't eat supper with us . [+ RES]
18002:eve18.cha-*CHI:	in Boston .
18011:eve18.cha-*CHI:	when we go to his home (.) we maybe see it .
18017:eve18.cha-*CHI:	Fraser (.) we went to garage this morning .
18023:eve18.cha-*CHI:	we went to garage again (.) an(d) we went on the subway . [+ RES]
18041:eve18.cha-*CHI:	an(d) then we went on the subway .
18079:eve18.cha-*CHI:	then we go in <the tr(ain)> [//] a train .
18095:eve18.cha-*CHI:	he just looking around at me .
18101:eve18.cha-*CHI:	an(d) you gave it to Mama .
18124:eve18.cha-*CHI:	I want see [//] peek out at Sarah .
18134:eve18.cha-*CHI:	on the floor . [+ RES]
18139:eve18.cha-*CHI:	an(d) [?] on my try .
18144:eve18.cha-*CHI:	in the floor .
18149:eve18.cha-*CHI:	I will stand on my knees (.) get xxx down .
18161:eve18.cha-*CHI:	let sit on the couch .
18178:eve18.cha-*CHI:	you [/] you do it for me . [+ IMP]
18188:eve18.cha-*CHI:	we be ready in a minute . [+ IMIT]
18193:eve18.cha-*CHI:	look at those .
18204:eve18.cha-*CHI:	he wake up from he nap .
18209:eve18.cha-*CHI:	I go write like this swimming .
18217:eve18.cha-*CHI:	let me hold it for you .
18225:eve18.cha-*CHI:	put them in (.) Fraser . [+ IMP]
18239:eve18.cha-*CHI:	write another eye for him . [+ IMP]
18256:eve18.cha-*CHI:	xxx play with my cow .
18302:eve18.cha-*CHI:	I going to jump . [+ RES]
18305:eve18.cha-*CHI:	I gonna put these (.) things on the couch that you +... [+ RES]
18311:eve18.cha-*CHI:	I go do it on the stool now . [+ IMP]
18317:eve18.cha-*CHI:	look at Sarah turning around . [+ IMP]
18330:eve18.cha-*CHI:	I go jump on the stool .
18340:eve18.cha-*CHI:	I go (.) a cow going to work .
18345:eve18.cha-*CHI:	cow going to work . [+ RES]
18353:eve18.cha-*CHI:	you get it for me +... [+ IMP]
18385:eve18.cha-*CHI:	you [/] you fix it xxx for me .
18411:eve18.cha-*CHI:	goed [: went] [* +ed] on that (.) way .
18416:eve18.cha-*CHI:	goed [: went] [* +ed] on that way .
18421:eve18.cha-*CHI:	see (.) this stool can work on <a other> [//] a little stool .
18427:eve18.cha-*CHI:	see (.) it can work on a little stool .
18433:eve18.cha-*CHI:	you please fix it for me ?
18456:eve18.cha-*CHI:	I have put it in trash .
18461:eve18.cha-*CHI:	in trash +... [+ RES]
18492:eve18.cha-*CHI:	what are you going to read for me (.) Fraser ?
18515:eve18.cha-*CHI:	after Cromer comes .
18520:eve18.cha-*CHI:	to Emerson_Hall .
18530:eve18.cha-*CHI:	for walk . [+ RES]
18545:eve18.cha-*CHI:	went to Colorado . [+ IMIT]
18571:eve18.cha-*CHI:	we goin(g) in the house . [+ RES]
18576:eve18.cha-*CHI:	we goin(g) to (.) live in the house next year an(d) we have a room . [+ RES]
18582:eve18.cha-*CHI:	xxx went to Colorado .
18587:eve18.cha-*CHI:	xxx went to Colorado .
18592:eve18.cha-*CHI:	Binna went to Colorado (.) not [/] not Cromer . [+ RES]
18621:eve18.cha-*CHI:	Fraser going to (.) A_and_P .
18626:eve18.cha-*CHI:	an(d) Cromer went to Colorado .
18631:eve18.cha-*CHI:	I'm xxx play with Dodies .
18660:eve18.cha-*CHI:	after my nap .
18665:eve18.cha-*CHI:	sit [/] sit down in the chair .
18673:eve18.cha-*CHI:	for Cathy .
18705:eve18.cha-*CHI:	I'd like have a piece of cheese . [+ RES]
18726:eve18.cha-*CHI:	they xxx going to beach . [+ IMIT]
18741:eve18.cha-*CHI:	xxx playing outside with Papa .
18757:eve18.cha-*CHI:	after Papa fix it .
18762:eve18.cha-*CHI:	there xxx a hole in it .
18773:eve18.cha-*CHI:	we gonna go play in the swimming pool tomorrow .
18779:eve18.cha-*CHI:	xxx play in the swimming pool tomorrow . [+ RES]
18784:eve18.cha-*CHI:	after my nap (.) xxx fix .
18789:eve18.cha-*CHI:	xxx after xxx naps .
18865:eve18.cha-*CHI:	right in front of you [?] +... [+ IMIT]
18971:eve18.cha-*CHI:	he putting a coating on them .
18977:eve18.cha-*CHI:	he putting a coating on them .
18983:eve18.cha-*CHI:	is you putting a coating on them .
18989:eve18.cha-*CHI:	I want to play with them .
18994:eve18.cha-*CHI:	I playing with it .
19012:eve18.cha-*CHI:	Sue (.) I want say goodbye to Fraser .
19017:eve18.cha-*CHI:	want say goodbye to Fraser .
19033:eve18.cha-*CHI:	I playing with it .
19043:eve18.cha-*CHI:	I playing with it .
19074:eve18.cha-*CHI:	hi xxx you looking at Colin ?
19079:eve18.cha-*CHI:	are [?] you looking at Colin (.) Fraser ?
19085:eve18.cha-*CHI:	it's for me .
19091:eve18.cha-*CHI:	Papa pretty picture I made for you .
19108:eve18.cha-*CHI:	so Papa can look at it .
19113:eve18.cha-*CHI:	an(d) I go get you another one for you .
19135:eve18.cha-*CHI:	this for Sarah .
19170:eve18.cha-*CHI:	I writing with Fraser .
19181:eve18.cha-*CHI:	it's a bath+tub for a boy get in .
19187:eve18.cha-*CHI:	I writing another thing for you .
19198:eve18.cha-*CHI:	pennies in xxx pocket .
19203:eve18.cha-*CHI:	I xxx put my hand in it .
19234:eve18.cha-*CHI:	now [/] now I'm going to +...
19257:eve18.cha-*CHI:	I wanna read it for Fraser .
19268:eve18.cha-*CHI:	xxx an(d) I wanna play with it .
19315:eve19.cha-*CHI:	put it in you coffee .
19326:eve19.cha-*CHI:	see (.) I writing you talk [/] talk (.) like this (.) see ?
19332:eve19.cha-*CHI:	put mine in right here xxx .
19344:eve19.cha-*CHI:	that some of Margaret Keller's ?
19361:eve19.cha-*CHI:	I been working on the railroad .
19367:eve19.cha-*CHI:	someone's in kitchen with Dinah .
19373:eve19.cha-*CHI:	strummin(g) on the old banjo .
19385:eve19.cha-*CHI:	all around the block had a get the xxx .
19396:eve19.cha-*CHI:	all around the block . [+ RES]
19415:eve19.cha-*CHI:	all around the block .
19421:eve19.cha-*CHI:	all around the block .
19427:eve19.cha-*CHI:	all around the block .
19445:eve19.cha-*CHI:	could I get some other piece a [: of] paper ?
19451:eve19.cha-*CHI:	xxx have some of that pap [//] piece of paper . [+ RES]
19499:eve19.cha-*CHI:	when I put the pencil in this hole (.) I (.) put it (.) right here .
19511:eve19.cha-*CHI:	put it right in the hole (.) see ?
19516:eve19.cha-*CHI:	xxx on floor .
19555:eve19.cha-*CHI:	(in)stead of Fraser .
19606:eve19.cha-*CHI:	you can sit down by me .
19611:eve19.cha-*CHI:	you can write me a lady on that page .
19629:eve19.cha-*CHI:	up here on that page . [+ RES]
19637:eve19.cha-*CHI:	went in the basement .
19642:eve19.cha-*CHI:	(.) that what we do (.) after supper .
19652:eve19.cha-*CHI:	we go to bed and wake up in the morning and (.) go to Cathy Beach new house . [+ RES]
19665:eve19.cha-*CHI:	when I wake up from my nap (.) I will (.) go right on the street in a car .
19722:eve19.cha-*CHI:	and (.) we will go drive to New_Brunswick and +...
19728:eve19.cha-*CHI:	Canada which inside New_Brunswick .
19738:eve19.cha-*CHI:	up in the air .
19761:eve19.cha-*CHI:	egg in my pitcher .
19783:eve19.cha-*CHI:	he funny like a man .
19788:eve19.cha-*CHI:	I'm working on the railroad . [+ RES]
19793:eve19.cha-*CHI:	you please put a (.) ice+cube in it .
19804:eve19.cha-*CHI:	monkey said on Becky t_v . [+ RES]
19820:eve19.cha-*CHI:	putting it head (.) in a hole . [+ RES]
19830:eve19.cha-*CHI:	that yours in the table .
19841:eve19.cha-*CHI:	Mom (.) Sarah go right here by me .
19850:eve19.cha-*CHI:	xxx do like this one .
19855:eve19.cha-*CHI:	whyn't [: why don't] you do like this .
19860:eve19.cha-*CHI:	I am playing down the basement .
19863:eve19.cha-*CHI:	in the basement (.) Sue .
19880:eve19.cha-*CHI:	I want to .
19888:eve19.cha-*CHI:	I been working on the railroad .
19894:eve19.cha-*CHI:	I been working on the railroad .
19899:eve19.cha-*CHI:	I been working on the railroad .
19910:eve19.cha-*CHI:	think we have the rest of it in (.) here .
19928:eve19.cha-*CHI:	xxx roll over in chair .
19970:eve19.cha-*CHI:	they probably in my crayon box . [+ IMIT]
19976:eve19.cha-*CHI:	at all . [+ RES]
19992:eve19.cha-*CHI:	you gonna <write me> [/] write me snowman with my crayons .
20009:eve19.cha-*CHI:	I sitting on my pencil .
20024:eve19.cha-*CHI:	with dat [: that] crayon !
20029:eve19.cha-*CHI:	you can write (.) a@l b@l on dis [: this] side .
20046:eve19.cha-*CHI:	give it back to me .
20069:eve19.cha-*CHI:	(un)til Fraser goes .
20074:eve19.cha-*CHI:	with Fraser .
20123:eve19.cha-*CHI:	something on my knees .
20140:eve19.cha-*CHI:	that for we cook our meat for . [+ RES]
20151:eve19.cha-*CHI:	for Fizzies .
20159:eve19.cha-*CHI:	in a minute (.) I will .
20170:eve19.cha-*CHI:	a bread with some butter on it xxx .
20187:eve19.cha-*CHI:	Sue (.) don't stand in my ice+cubes .
20199:eve19.cha-*CHI:	you just on the ice+cube .
20210:eve19.cha-*CHI:	they was [*] in the refrigerator (.) cooking .
20216:eve19.cha-*CHI:	Sue (.) I put them in the refrigerator to freeze .
20223:eve19.cha-*CHI:	xxx waiting (un)til supper time .
20229:eve19.cha-*CHI:	when I wake up from my nap .
20257:eve19.cha-*CHI:	will you put on my bibbie ?
20276:eve19.cha-*CHI:	I want to . [+ RES]
20302:eve19.cha-*CHI:	xxx piece of celery .
20307:eve19.cha-*CHI:	she writing with Fraser ?
20322:eve19.cha-*CHI:	after fashion .
20332:eve19.cha-*CHI:	after a fashion .
20355:eve19.cha-*CHI:	in a little bit . [+ IMIT]
20360:eve19.cha-*CHI:	they're talking to us .
20390:eve19.cha-*CHI:	Gloria sits on our couch .
20455:eve19.cha-*CHI:	an(d) I want to take off my hat .
20467:eve19.cha-*CHI:	Fraser do rest of it .
20477:eve19.cha-*CHI:	they have dirt in them .
20512:eve19.cha-*CHI:	an(d) I got (.) dirt in my shoes an(d) sock .
20521:eve19.cha-*CHI:	Sue (.) I going to work .
20580:eve20.cha-*CHI:	dat's [: that's] Becky on de [: the] truck .
20628:eve20.cha-*CHI:	no (.) I wanna (.) to my Mommy .
20634:eve20.cha-*CHI:	xxx go to my Mommy .
20655:eve20.cha-*CHI:	dat's [: that's] a same as Papa's is .
20710:eve20.cha-*CHI:	a [/] a red is on top <of a> [/] of a green one .
20728:eve20.cha-*CHI:	write anuder [: another] baby on dis [: this] part .
20738:eve20.cha-*CHI:	you put em on top .
20761:eve20.cha-*CHI:	you put yours on top (a)nd .
20781:eve20.cha-*CHI:	dere's [: there's] some more on the back of it .
20857:eve20.cha-*CHI:	now put some Fizzie in it .
20877:eve20.cha-*CHI:	mm: [?] I don't want you to xxx .
20929:eve20.cha-*CHI:	hey haha xxx what're you doing with dat [: that] xxx .
20975:eve20.cha-*CHI:	you make the eyebrow for her .
20980:eve20.cha-*CHI:	because you make the eyebrow on dat [: that] one .
20998:eve20.cha-*CHI:	you put em on top .
21019:eve20.cha-*CHI:	xxx d(o) ya wide [: ride] on dat [: that] ?
21029:eve20.cha-*CHI:	to New_York .
21034:eve20.cha-*CHI:	I want to sit on your lap .
21039:eve20.cha-*CHI:	I want to sit by you .
21044:eve20.cha-*CHI:	I want to sit by you .
21055:eve20.cha-*CHI:	xxx by you .
21077:eve20.cha-*CHI:	I want go outside with Becky .
21100:eve20.cha-*CHI:	going a xxx and go to Granny's house .
21161:eve20.cha-*CHI:	xxx it to Granny's house .
21172:eve20.cha-*CHI:	peeing out the window .
21183:eve20.cha-*CHI:	I going a bring it over to you .
21189:eve20.cha-*CHI:	dis [: this] is Sarah out de [: the] other window .
21195:eve20.cha-*CHI:	look at her (.) Sarah .
21200:eve20.cha-*CHI:	look at her .
21205:eve20.cha-*CHI:	look at her xxx (.) see ?
21243:eve20.cha-*CHI:	xxx get off the horse .
21269:eve20.cha-*CHI:	xxx I xxx go off a horse .
21291:eve20.cha-*CHI:	hey (.) I falling off the horse .
21318:eve20.cha-*CHI:	Sarah spit on my finger .
21323:eve20.cha-*CHI:	you drool on my finger .
21333:eve20.cha-*CHI:	drool on the baby's finger .
21390:eve20.cha-*CHI:	Sarah play with her key .
21406:eve20.cha-*CHI:	give it to me .
21411:eve20.cha-*CHI:	give a pencil to me .
21429:eve20.cha-*CHI:	you make a blue one for me .
21450:eve20.cha-*CHI:	I going to .
21460:eve20.cha-*CHI:	put (th)em on top .
21480:eve20.cha-*CHI:	xxx many kind of pictures .
21485:eve20.cha-*CHI:	after my nap .
21548:eve20.cha-*CHI:	how [/] (.) how_(a)bout another (.) eggnog in(s)tead of cheese sandwich .
21554:eve20.cha-*CHI:	come with me .
21564:eve20.cha-*CHI:	we be coming down , Gwowia .
21569:eve20.cha-*CHI:	Gloria , you be sittin(g) on the chair ?
21597:eve20.cha-*CHI:	<put it > [/] (.) put it (.) in my pitcher .
21612:eve20.cha-*CHI:	piece a [: of] cheese .
21650:eve20.cha-*CHI:	her [*] (a)bout to crawl .
21660:eve20.cha-*CHI:	what is that on the table ?
21680:eve20.cha-*CHI:	both of dem [: them] are fingers [/] fingers .
21685:eve20.cha-*CHI:	just like Momma has , and David has , and Sara has .
21691:eve20.cha-*CHI:	just like (.) Fraser .
21719:eve20.cha-*CHI:	Gloria talking to her .
21724:eve20.cha-*CHI:	I made my baby sit in high+chair .
21760:eve20.cha-*CHI:	Momma went to Boston .
